,barcode01.csv,barcode02.csv,barcode03.csv,barcode04.csv,barcode05.csv,barcode06.csv,barcode07.csv,barcode08.csv,barcode09.csv,barcode10.csv,barcode11.csv,barcode12.csv,barcode13.csv,barcode14.csv,barcode15.csv,barcode16.csv,barcode17.csv,barcode18.csv,barcode19.csv,barcode20.csv,barcode21.csv,barcode22.csv,barcode23.csv,barcode24.csv,barcode25.csv,barcode26.csv,barcode27.csv,barcode28.csv,barcode29.csv,barcode30.csv,barcode31.csv,barcode32.csv,barcode33.csv,barcode34.csv,barcode35.csv,barcode36.csv,barcode37.csv,barcode38.csv,barcode39.csv,barcode40.csv,barcode41.csv,barcode42.csv,barcode43.csv,barcode44.csv,barcode45.csv,barcode46.csv,barcode47.csv,barcode48.csv,barcode49.csv,barcode50.csv,barcode51.csv,barcode52.csv,barcode53.csv,barcode54.csv,barcode55.csv,barcode56.csv,barcode57.csv,barcode58.csv,barcode59.csv,barcode60.csv,barcode61.csv,barcode62.csv,barcode63.csv,barcode64.csv,barcode65.csv,barcode66.csv,barcode67.csv,barcode68.csv,barcode69.csv,barcode70.csv,barcode71.csv,barcode72.csv,barcode73.csv,barcode74.csv,barcode75.csv,barcode76.csv,barcode77.csv,barcode78.csv,barcode79.csv,barcode80.csv,barcode81.csv,barcode82.csv,barcode83.csv,barcode84.csv,barcode85.csv,barcode86.csv,barcode87.csv,barcode88.csv,barcode89.csv,barcode90.csv,barcode91.csv,barcode92.csv,barcode93.csv,barcode94.csv,barcode95.csv,barcode96.csv
k__Fungi;p__Ascomycota;c__Coniocybomycetes;o__Coniocybales;f__Coniocybaceae;g__Chaenotheca;s__Chaenotheca_xyloxena,1,0,0,6,1,0,0,0,0,0,0,294,139,1,0,0,288,0,0,0,22,2,20,2,268,2,0,0,0,0,19,0,26,0,1,0,8,287,0,0,16,0,0,1,1,54,0,28,0,0,0,0,1,0,272,1,1,0,0,19,0,1,0,0,2,0,0,4682,0,279,0,0,1,458,1938,0,0,0,1,16,0,3,0,2,1,0,0,21,0,0,0,0,288,0,267,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_ertzii,1,0,3,3,16,0,1,1,1,31,1,318,15,0,10,299,24,284,0,2,1,0,0,0,0,0,10,0,0,505,3,1158,1,0,28,7,0,22,0,288,0,28,1,0,16,5,590,1,0,0,1,0,18,228,0,0,1697,20,0,0,0,0,0,0,0,0,0,0,9,0,0,1,24,12,1,1042,2,1,0,0,0,4931,1322,28,149,0,242,0,0,13,0,0,25,0,17,26
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_prodiens,4,5,1055,4565,1,363,1,2,11865,2,1,971,3,16,2,87,1,1,1,2569,1,1,1,263,1,16,4667,3,1,37,1,1,1,1,3,1,3,1,19,1,11,2,2,1,1,1091,1,2,232,2651,18,25,1,30,1,2,23,2,1,1,333,1,1,3,1,2,26,1,1,28,474,24,4,1,1,1,5,1,37,3,1,1,1,2,1,4,28,7,431,3,1800,35,1,1,1,1
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_sp,1,21,2,1,2,1,7,2,29,9195,1,45,15006,1,3472,1,4,29,5,0,0,9,1,0,0,1,1,1,15,1,33,24,10,5,1,0,478,2,1,1,2,1,1,0,1,95,1,2,19,180,2,1,2,1,22,11,2,16,1,1,1,53,1,563,11,8,0,1,999,1,47,1,1,7626,29,3,1852,2,2,540,1,1202,50,2,5,1,1,1,24,1970,1,1,2,1,1,1
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Lichenoconiaceae;g__Lichenoconium;s__Lichenoconium_erodens,138,2,2,3,3,47,1,11,2,1,2,558,1,10,2,12,1,1,4,1,1,1,1,22,29,2,349,18,1,1,3,1,2,1,7,496,42,3,1,26,4832,2,7,1,1,1,29,2,6,3,1,1,1,2,1,2,1,1,2,1,30,1,14,1,1,1,2,1,6,10,1,1,1,1,618,321,1,16,2,38,15,1,1,1,1,235,1,3,1,1,1,1,13,5,1,1
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Lichenoconiaceae;g__Lichenoconium;s__Lichenoconium_sp,2,1,11,1,27,1,0,1,1,1,1,11,1,1,1,0,1,1,0,17,1,5,5,1,1,1,2,1,0,1,1,1,1,2,1,1,1,3,0,1,22,0,0,6,1,1,1,13,3,1,13,1,1,0,1,183,1,3,7,10,1,1,1,0,2,0,0,11,1,0,18,11,9,3,18,1,28,4,16,1,3,1,3,8,2,22,12,1,1,1,1,1,1,0,10,8
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_stevensii,25,2,1,1,5,1,3,4,6,1,1,4113,1,1,1,7,12,1,1,1,0,1,4,1,1,8,9,1,2,1,0,1,0,115,1,12,8,0,16,1,1,1,5,1,10,1,1,1,1,1,1,1,12,5,1,1,1,1,2,1,1,0,4,24,0,1,7,365,1,2,1,0,1,0,4,1,2,1,2,1,241,4,20,49,1,4,1,1,1,1,33,8,0,1,2,3
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__Dothiorella_sp,259,31,1,1,2,16,138,2,13,1,1,1,395,148,365,2,1,1,138,2,1,139,120,1,10,1,3,4,5,1,1,46,144,1,2,1,3,8,1,1,6,8,1,181,1,1,4,4,148,15,7,14,3,4,11,1,1,124,112,1,11,2,1,1,142,175,177,1,1,1,2,1,1,507,6733,1,2,211,2,2,2,1,3,4,3,1,151,2,8,1,1,19,2,91,1,2
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Eutiarosporella;s__Eutiarosporella_dactylidis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina,1,1,11,172,0,0,0,131,1,1,0,1,7,0,0,0,151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,146,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,181,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
