"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"3119","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_peliocarpa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","257"
"3120","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_prasina","0","86","1","2","1","1","0","3","23","0","1","14","0","1","3","0","160","0","1","4","0","0","4","0","0","9","3","6","0","1","2","0","14","2","48","11","73","0","0","9","1","0","0","98","374","2","57","3","0","22","0","1","0","2","0","3","1","1","0","3","0","1","6","22","122","1","1","5","1","0","0","2","1","1","1","0","2","2","124","0","1","1","0","0","83","1","6","1","9","0","0","0","0","3","0","0","0","2","0","0","0","0","6","7","0","35","0","0","0","11","4","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","90","1","0","3","1","29","0","0","0","8","0","0","66"
"3121","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_pseudomicrococca","0","20","36","142","2","2","3","1","7","0","2","2","0","1","0","8","2","1","0","0","3","5","1","277","3","2","1","0","1","1","1","0","1","0","28","1","23","1","1","7","2","112","1","165","129","2","15","0","1","0","1","1","6","0","9","4","0","1","0","1","1","1","4","35","12","6","21","182","1","10","1","2","1","1","33","3","2","94","1","1","5","29","3","4","1","2","2","63","6","1","1","1","2","4","0","0","6","449","3","0","0","0","1","1","0","0","0","0","1","2","3","1","0","0","30","5","2","0","0","0","0","0","0","0","0","9","45","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1"
"3122","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_pusilla","0","0","0","0","0","0","0","2","77","0","4","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","724","2","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3124","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_sp","2","6","1","1","1","24","0","47","819","1","161","1","3","4","3","68","1","0","9","1","2","1","2","1","0","79","2","32","18","3","2","1","27","1","11","8","5","1","3","5","1","28","5","3","1","1","30","1","2","5","1","70","4","9","9","1","1","1","6","1","2","1","50","0","34","21","4","3","8","14","1","1","162","9","1","3","1","1","1","1","2","1","1","1","390","1","1","1","2","1","0","1","1","5","0","0","0","23","1","0","1","2","0","2","0","1","0","1","1","1","2","259","0","0","1","30","1","0","0","0","0","0","0","0","4","4","0","1","514","1","3","0","0","0","27","0","30","1","0","1","0","8","0","0","42"
"3128","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Pilocarpaceae","Micarea","Micarea_xanthonica","0","0","0","0","16","0","0","0","7","0","0","2","0","13","0","0","94","0","1","0","0","0","22","0","0","0","0","0","4","0","0","0","0","0","0","86","0","0","0","2","0","28","0","0","4","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","4","0","19","0","0","12","55","0","0","0","0","1","0","0","0","0","0","2","0","10","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3133","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Psilolechiaceae","Psilolechia","Psilolechia_lucida","0","0","0","0","0","197","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","41","0","0","0"
"3134","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Psilolechiaceae","Psilolechia","Psilolechia_sp","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"3167","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Lecania","Lecania_hutchinsiae","0","0","0","43","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0"
"3196","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Ramalina_farinacea","0","0","0","0","0","0","0","0","0","0","103","2","0","0","0","0","0","0","0","0","136","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","0","0","1","0","1","6","0","0","0","0","0","0","0","1","36","0","0","1","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3201","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Ramalina_intestiniformis","0","0","0","0","0","0","0","0","0","0","0","8","0","24","0","29","0","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","4","1","9","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","49","2","0","0","0","1","45","0","0","0","0","0","1","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","3","0","0","0","0","0","15","0","0","0","0","40","0","0","0"
"3209","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Ramalina_sp","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","532","1","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","309","0","0","0","0","1","13","1","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","2","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3219","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_chlorococcum","0","0","0","13","12","0","0","3","8","0","1","1","0","10","0","0","0","0","0","0","0","17","0","0","0","7","0","0","0","33","0","0","1","0","0","12","0","4","10","0","0","0","0","0","0","13","50","0","0","0","0","42","0","0","3","0","0","0","0","0","2","3","0","0","2","0","2","5","0","33","0","0","1","9","1","823","0","0","5","0","8","1","0","4","0","0","0","25","0","98","0","0","0","0","0","0","0","0","53","0","0","0","2","1","0","0","0","0","0","28","0","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3220","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_fabisporum","19","1","1","9","1","2","1","1","2","1","1","1","1","1","4","3","1","24","38","8","1","2","21","36","1","1","27","6","57","1","2","48","9","9","3","1","2","8","5","8","69","1","1","161","1","2","8","8","1","40","57","2","35","42","2","2","4","2","2","1","3","11","1","1","1","1","4","2","1","1","6","3","44","3","1","2","4","6","3","29","3","1","8","1","35","3","25","1","16","4","128","1","3","16","1","0","1","4593","9","10","12","3","3","1","1","18","1","2","2","2","90","1","1","0","2","7","1","2","6","0","0","1","0","4","0","2","1","11","2","18","30","0","2","63","4","4","2","1","0","1","1","35","0","1","15"
"3221","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_gallurae","1","6","0","1","1","0","0","1","1480","1","3","31","1","1","11","40","4","0","1","6","1","0","0","0","0","2","0","1","1","0","1","0","0","1","4","1","5","0","7","1","0","0","0","4","0","1262","1","0","0","0","6","0","1","1","1","0","20","2","0","0","9","20","0","2","0","6","1","2","0","51","24","0","3","1","2","1","3","142","3","105","6","1","11","1","0","0","1","7","0","0","1","0","0","0","0","0","1","4","1","0","0","0","0","3","0","0","0","0","1","1","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","1","0","146","2","1","0","2","0","0","0","14","0","0","0","0","1","0","0","1"
"3222","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_sarothamni","2","34","3","50","3","0","0","2","330","0","1","9","0","1","0","14","19","1","0","12","1","1","3","1","1","280","5","5","1","19","18","2","0","2","3","7","23","17","50","2","0","6","4","2","2","4","2","17","1","1","51","6","0","0","8","1","2","3","1","1","2","3","1","1","0","13","6","3","0","3","0","0","1","2","84","312","8","1","7","1","71","7","4","1","2","4","1","1","1","3","16","0","0","2","0","0","0","2","1","0","0","0","2","31","1","2","0","0","0","0","1","2","0","0","0","22","13","0","0","0","0","0","0","0","2","0","0","17","5","2","2","0","1","0","86","1","4","3","0","0","0","5","0","0","3938"
"3223","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_sp","0","2","0","22","0","1","1","0","1","1","11","1","13","4","0","4","1","0","1","7","1","0","2","0","1","27","4","6","3","169","1","1","1","0","297","9","0","1","1","4","1","0","0","2","9","9","0","7","0","37","3","0","1","2","0","2","0","55","0","1","33","0","5","3","0","1","2","12","0","1","0","2","4","6","2","29","0","12","57","0","4","4","0","2","3","0","1","6","0","0","1","0","0","0","0","0","0","124","1","0","2","0","0","1","133","0","0","0","48","0","1","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","16","0","0","0","2","0","1","2"
"3224","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Scoliciosporaceae","Scoliciosporum","Scoliciosporum_umbrinum","2","1","252","4","50","1","60","5","31395","0","4","1","1","3","4","2","4","4","2","12","1","1","1","9","51","36","1","0","3","4","16","60","1","21","548","156","5","37","1","2","1","1","8","2","4","2","33","37","3","35","15","331","8","56","33","1","4","1","1","0","0","0","4","34","11","0","1","5","6","252","0","3","151","4","484","1","89","0","1","4","347","1","11","772","2","1","5","1","3","3","4","2","5","0","0","0","0","2","1","0","0","0","4","2","41","0","0","0","1","2","3","1","0","0","1","2","1","0","0","0","0","0","0","0","0","4","25","1","15","2","1","0","0","0","1","0","1","2","0","0","0","1","0","1","1"
"3228","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Calvitimela","Calvitimela_aglaea","0","0","0","0","0","0","0","0","20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0"
"3233","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Mycoblastus","Mycoblastus_caesius","2","2","1","0","1","3","0","52","0","0","0","0","0","1","0","1","0","3","1","0","6","0","79","0","3","7","5","0","1","2","0","0","1","1","0","0","3","1","0","1","0","1","4","0","2","1","106","3","0","0","0","1","0","4","0","21","0","2","1","9","0","0","1","0","0","30","2","0","0","0","1","24","5839","74","843","0","0","0","1","0","163","1","0","0","6","1","0","1","0","1","0","0","33","5","0","1","0","1","10","1","5916","1","8","1","2","12","0","6","1","1","2","1","0","1","1","3","158","0","461","0","7","3","0","0","9","0","4","2","1","7","1","1","7","2","1","1","30","2","1","4","3","3","1","5","1"
"3235","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Mycoblastus","Mycoblastus_sanguinarius","0","4","2","0","0","0","0","2","4","1","29","3","0","13","73","1","0","0","1","2","4","103","0","4","0","10","2","0","28","3","1","0","3","0","2","2","2","48","0","27","1","2","5","2","47","63","0","8","0","1","1","2","11","132","10","0","3","7","0","1","2","0","5","0","2","0","6","2","1","1","6","1","1","37","3","0","3","1","1","77","16","10","1","2","12","3","158","8","16","1","1","1","2","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0"
"3240","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Tephromela","Tephromela_pacifica","0","0","0","3","0","0","0","0","26","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"3241","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Tephromela","Tephromela_sp","0","0","0","0","0","0","0","0","1","0","0","48","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","24","0","0","0","0","0","0","0","6","12","0","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3242","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Tephromelataceae","Violella","Violella_fucata","11","1","9","1","39","122","4","39","3","1","1","243","3","65","10","2","2","39","49","47","1","3","3","2","1","2","26","1","86","8","2","10","1","61","1","3","3","5","1","147","33","50","2","16","1","2","1","2","1","4","1","3","7","40","1","1","37","2","1","1","1","2","1","1","9","6","1","1","16","39","2","1","2","1","2","7","7","2","2","9","1","1","13","1","575","1","9","1","3","2","4","1","3","15","0","1","18","2","350","3","2","1","703","4","1","3","6","1","1","30","1","1","0","1","1","2","5","6","7","1","14","1","3","5","3","3","58","9","1","1","1","1","1","17","2","1048","20","2","1","6","1","2","3","2","3"
"3257","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_huxariensis","1","1","0","2","0","0","0","7","40","1","2","1","4","400","1","1","1","0","14","1","0","5","0","7","1","0","1","3","1","3","0","1","0","0","2","3","0","0","54","1","4","0","1","0","0","1","0","5","5","2","0","1","2","1","0","0","0","0","0","1","4","1","0","1","0","1","4","0","0","1","3","7","1","1","1","1","6","0","0","2","3","1","0","183","0","0","0","6","0","0","4","1","0","0","0","0","0","4","7","0","0","0","25","5","0","0","0","0","0","34","52","3","84","0","0","1","78","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","13"
"3258","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_hypopta","4","1","352","1","1","1","1","24","81","3","97","1","25","8","2","2","1","2","1","1","7","1","1","18","1","1","2","1","10","2","62","1","28","20","1","10","1","4","4","21","4","2","58","1","3","1","1","1","13","5","10","1","1","1","3","3","1","1","1","770","19","2","1","3","2","12","105","2","1","6","4","5","15","16","1","1","4","5","2","5","2853","2","1","3","3","5","2","2","1","3","1","5","5","3","1","0","0","0","2","0","0","0","1","1","0","2","0","0","1","2","14","3","0","0","3","1","0","0","0","0","0","0","1","0","0","1","1","0","1","4","0","1","0","0","2","0","0","0","0","0","0","0","0","0","2"
"3262","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_leprarioides","0","0","0","91","0","3","0","0","2","0","0","0","11","2","0","0","0","0","0","1","0","0","0","1","0","0","0","3","0","0","4","2","0","0","39","0","5","0","11","1","5","0","0","4","4","0","0","0","0","0","1","0","0","0","0","2","23","1","0","0","13","0","0","1","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","78","0","1","0","5","2","0","0","0","24","0","0","0","0","0","0","0","0","100","2","0","0","0","0","1","0","3","0","0","0","2","0","63","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","1209","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","4"
"3263","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_nylanderi","9","1","1","1","2","1","5","1","2","10","1","1","2","13","2","2","4","1","5","2","1","1","2","1","5","2263","2","45","2","1","2","3","1","35","43","2","1","1","37","4","31","4","1","3","1","2","4","1","1","5","22","12","42","5","2","1","1","1","6","1","2","1","1","1","2","1","372","1","4","134","4","6","1","14","1","10","14","6","3","8","8","1","1","5","2","6","5","2","2","1","2","1","1","2","2","1","1","30","7","1","3","1","3","1","5","11","2","3","74","1","1","2","14","1","1","15","1995","0","8","18","0","1","1","7","1","3","2","1","1","1","1","2","1","1","5","3","14","34","1","3","0","1","1","2","12"
"3265","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_sp","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3267","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_tessellata","3","28","1","3","1","12","1","3","1","1","0","1","44","4","57","46","1","3","3","54","1","2","2","2","1","1","2","1","1","1","1","1","41","1","1","9","1","9","8","5","1","2","40","4","1","1","1","5","1","1","1","85","5","25","1","1","1","1","1","1","2","5","152","1","62","8","50","0","64","1","4","0","119","1","1","2","176","1","2","46","1","3","1","3","1","2","55","1","468","1","6","1","2","53","0","0","0","3","0","1","0","2","0","0","1","0","0","0","1","1","15","3","0","0","13","1","0","0","0","0","0","1","18","0","0","0","0","0","227","1","1","0","0","0","3","9","1","0","0","0","0","1","0","0","1"
"3268","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","Lecidea_turgidula","37","4","1","2","8","12","8","3","50","3","5","1","2","193","4","2","1","2","31","2","77","4","7","43","6","8","2","3","10","9","1","6","2","1","1","5","3","1","1","118","49","16","11","12","1","1","1","4","8","7","1","5","2","1","1","1","5","1","1","1","1","5","1","3","2","19","1","1","3","3","4","1","480","4","2","3","3","11","1","1","14","232","5","8","9","1","3","1","284","1","1","1","1","4","1","1","1","35","1","4","3","0","3","3","1","1","0","29","3","6","7","1","2","3","74","1","2","1","0","5","1","1","1","1","1","2","2","8","147","5","1","0","7","1","1","11","4","16","1","0","111","1","0","4","14"
"3278","Fungi","Ascomycota","Lecanoromycetes","Odontotrematales","Odontotremataceae","Claviradulomyces","Claviradulomyces_dabeicola","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","44","0","0","0","0","0","0","0","0","0","11","0","1","0","81","0","0","0","42","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3280","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Ostropales_fam_Incertae_sedis","Mulderomyces","Mulderomyces_natalis","0","8","0","0","0","1","117","0","1","0","15","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","2","2","0","0","0","0","20","0","0","0","0","4","0","0","1","0","0","0","0","0","0","1","0","1","0","6","0","1","0","0","0","0","86","0","0","0","0","0","7","0","2","0","0","2","0","0","6","31","0","0","572","3","0","9","0","4","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0"
"3282","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Spirographaceae","Spirographa","Spirographa_fusisporella","6","3","3","1","27","2","17","41","1","8","6","45","2","8","31","3","3","4","3","32","2","1","3","2","1","94","1","1","1","62","2","37","1","1","2","8","2","1","6","1","4","1","1","1","1","1","1","1","4","2","49","14","1","3","7","1","1","4","6","1","3","2","5","4","1","6","10","2","11","2","1","6","1","2","35","47","5","18","1","1","1","2","3","3","56","2","1","2","2","1","4","2","1","40","1","1","4","1","1","1","11","1","1","3728","1","1","0","0","2","1","3","2","2","1","1","3","1","6","1","0","0","14","2","0","2","2","3","12","4","1","16","0","1","1","4","1","1","26","0","0","21","3","1","1","1"
"3283","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Spirographaceae","Spirographa","Spirographa_sp","0","2","1","12","9","12","1","1","6","6","1","1","2","11","4","2","1","7","2","31","4","42","1","7","9","1","9","47","3","153","1","1","1","4","124","3","21","5","4","5","1","0","0","2","1","342","2","0","0","1","1","1","37","1","1","8","64","2","1","1","5","0","135","44","4","1","3","16","0","2","1","1","1","18","2","5","2","138","1","2","3","1","44","1","2","2","1","1","18","3","0","1","4","8","0","0","0","2","1","0","0","3","2","2","0","2","0","0","3","0","0","20","0","0","1","1","198","19","0","0","0","0","1","0","0","0","0","0","1","0","6","0","1","28196","0","1","0","0","0","4","59","4","0","0","1"
"3284","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Absconditella","Absconditella_celata","2","55","961","2","1","3","1","1","22","1","9","3","2","5553","1","1","4","2","2","10","8","76","7","1","3","22","6","1","7","1","3","1","2","162","4","18","71","3","26","376","2","1","1","1","1","1","6","2","193","2","3","10","1","49","4","3190","1","3","7","1","2","9","1","4","1","1","4310","6","8","2","1","4","36","2","74","664","4","1","70","4","3","1","0","5","1","12","7","2","4","3","4","1","5","1","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","3","0","0","5","0","0","0","0","0","1","0","2","0"
