"","barcode01.csv","barcode02.csv","barcode03.csv","barcode04.csv","barcode05.csv","barcode06.csv","barcode07.csv","barcode09.csv","barcode10.csv","barcode11.csv","barcode12.csv","barcode13.csv","barcode14.csv","barcode15.csv","barcode16.csv","barcode17.csv","barcode18.csv","barcode19.csv","barcode20.csv","barcode21.csv","barcode22.csv","barcode23.csv","barcode24.csv","barcode25.csv","barcode26.csv","barcode27.csv","barcode28.csv","barcode29.csv","barcode30.csv","barcode31.csv","barcode32.csv","barcode33.csv","barcode34.csv","barcode37.csv","barcode38.csv","barcode39.csv","barcode40.csv","barcode41.csv","barcode42.csv","barcode43.csv","barcode44.csv","barcode45.csv","barcode46.csv","barcode47.csv","barcode48.csv","barcode49.csv","barcode50.csv","barcode51.csv","barcode52.csv","barcode53.csv","barcode54.csv","barcode55.csv","barcode56.csv","barcode57.csv","barcode58.csv","barcode59.csv","barcode60.csv","barcode61.csv","barcode62.csv","barcode63.csv","barcode64.csv","barcode65.csv","barcode66.csv","barcode67.csv","barcode68.csv","barcode69.csv","barcode70.csv","barcode71.csv","barcode72.csv","barcode73.csv","barcode74.csv","barcode75.csv","barcode76.csv","barcode77.csv","barcode78.csv","barcode79.csv","barcode80.csv","barcode81.csv","barcode82.csv","barcode83.csv","barcode84.csv","barcode85.csv","barcode86.csv","barcode87.csv","barcode88.csv","barcode89.csv","barcode90.csv","barcode91.csv","barcode92.csv","barcode93.csv","barcode94.csv","barcode95.csv","barcode96.csv"
"k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp",92,118,448,3,1,2,34895,29,20,567,1,18304,2,2,0,139,151,1,94536,17513,1,2221,1,106,0,2328,30932,6867,109,4,0,108,1,296,575,6839,1,106,1301,2720,50627,3,2217,7384,0,96,4,1,1,18813,29759,20776,0,93,221,1,8,2059,1,10,0,95,2665,1,2,100,3,1,7,97,8644,11401,113,11437,8883,0,0,134,1,15014,16061,1,2,0,0,118,293,4313,1,1,1,1,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_coleosporii",2,4,1,3,4,68,2,0,0,1,1,2,3,1,0,1,45,1,24,2,11,12,0,38,0,296,13,2,3,1,0,24,2,2,3,1,0,5,4,1,9,2,849,1,0,0,5,1,9,1,9,0,0,22,1,214,12,2,3,0,0,1,5,1,335,3,69,0,0,6,3,3,0,5,871,0,0,9,2,1,5,1,1,0,0,1,2,2,7538,2,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_eucalypti",1,0,133,1,314,8,1,0,0,0,2,13,24,54,0,2,2,406,13,1,1,1,0,1,0,2,4,1,1,9,0,1,0,5154,0,1,0,0,1,1,12,54,0,7,0,28,2,1,3,1,5,16,0,1,1,171,7,1,1,0,0,0,163,1,11,10,33,0,0,0,4,1,0,0,5,0,0,2,4,2,1,6,1,0,0,32,1,27,2,382,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_glennii",1,2,55,3,10,11,7,1,0,42,54,10,1,3,0,14,1,1,2,1,1,1,0,5,0,1,1,0,0,0,0,1,1,219,1,1,0,1,3,2,1,8,1,391,0,0,4,107,2,170,488,0,0,1,2,1,12,1,3,0,0,2,2,1,183,1,3,0,0,1,1,1,0,5,1,0,0,35,1,1,4,3,1,0,0,1,27,3,6,8,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_heraclei",1,0,1,8,6,4,1,1,0,0,2,1,0,0,0,2,0,2,19,2,1,1,0,0,0,361,2189,2,0,0,0,0,7,0,0,1,0,22,1,2,941,1,12,0,0,0,0,1,52,1,0,1,0,0,1,2,1,0,1,0,0,3,1,2,0,2,1,0,0,23,4,6,0,1,2,0,0,1,1,34,117,76,1,0,0,1,65,92,3,0,2,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_sp",13,34,1,14,2,4,81,7,2,1,1,1,5,2500,0,2,1,325,1,12,36,1,0,1,0,11,15,44,1,24,0,2,1,30,66,14,0,1,30,1,1,2,2,2,0,10,11,5,1,1,4,1167,1,12,20,1,5,2,5,1,0,1,245,4,6,25,1,0,0,11,1396,15,0,1,14,0,0,1,97,1,1,3,1,0,0,7,1,2,5,4,47,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_taleshina",1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Acrodontium;s__Acrodontium_crateriforme",2,0,2,3,940,0,11,0,0,4,45,93,1,5,0,1,5,5,1,1,3,3,0,1,0,1,19,11,0,0,0,8,0,224,0,0,0,1,0,7,1,4,2,7,0,1,1,1,1,1,1,490,0,0,1,0,150,0,1,0,0,0,17,5,1,0,2,0,0,0,4,1,0,19,2,0,0,0,1,1,0,1,11,0,0,0,0,2,4,1,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Acrodontium;s__Acrodontium_luzulae",1,0,1,20,17,3,5,0,0,0,6,9,0,1,0,0,1,1,5,16,302,0,0,0,0,1,1,2,0,0,0,0,1,0,136,0,0,0,5,1,3,1,1,242,0,1,1,8,183,268,2,4,0,0,4,1,5,0,1,0,0,0,3,0,2,0,33,0,0,0,1,55,0,3,287,0,0,0,1,4,1,134,3,0,0,2,0,1,21,792,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Acrodontium;s__Acrodontium_simplex",2,2,10,13,21,32,6,1,0,1,1,26,358,2,0,3,3,5,19777,2,2,1,0,1,0,1,1,666,13,1,0,2,1,185,5,1,0,0,2,1,1622,3,1,11,0,2,4,1,1,28,1,4,0,2,1,1,61,18,356,0,0,1,1,46,1,1,2,0,0,0,722,1,0,1,4,0,0,5,102,44,2,2,1,0,0,5,1,129,1,3,2,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Neocatenulostroma;s__Neocatenulostroma_microsporum",1,0,30,7,0,0,0,0,0,1,296,4,2,8,0,1,0,1,53,2,2,0,0,3,0,4,2,1,1,0,0,0,0,0,1,0,0,0,1,71,1,1,0,0,0,0,1,11,3,1,472,2,0,0,0,0,5,0,0,0,0,0,1,0,3847,0,3,0,0,3,0,0,0,0,226,0,0,0,1,1,2,1,299,0,0,0,2,1,4,1,804,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Pseudotaeniolina;s__Pseudotaeniolina_globosa",1,0,0,0,1334,0,0,0,0,0,1,1,3,0,0,0,0,2,89,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,22,0,1,0,0,0,31,0,0,0,8,0,0,0,43,0,0,0,0,0,0,0,0,0,5,1,2,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Phaeothecales;f__Phaeothecaceae;g__Phaeotheca;s__Phaeotheca_sp",1,1,1,904,1,1,1,1,0,140,27,3,1,150,0,3,1,1,1,164,2,1,0,0,0,1,2,2,1,3,0,1,26,2,344,5,0,8,17,2,1,1,165,22,0,1,1,1,1,1,57,8,0,2,12,2,1,2,27,0,0,1,1,33,34,9,193,0,0,1,1,6,0,165,2,0,0,1,8,6,2,4,2,0,0,1,19,2,125,1,2,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__Phoma_sp",2,2,0,1,3,2,31,5,0,1,22,2010,624,6,0,2,0,91,1,3,1062,1,0,0,0,1,2344,659,0,1,0,1,2,13,1,0,0,0,1,20,1,15,3,821,0,1,68,4,356,10,1,2,0,0,1,5,1,1,10,0,0,1,1,3,4490,2,8,0,0,0,0,3,0,1,3,0,0,10,1,1,1,1,3,0,0,0,0,1,50,1404,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Microsphaeropsidaceae;g__Microsphaeropsis;s__Microsphaeropsis_olivacea",1,12,8,21,1,93,5,2,2,1,12,22,1,26,0,1,1,4,15196,21,30,461,0,1,0,1,2,5,28,32,0,1,1,1,1,1,0,1,2,5,1,24,2,2,0,18,7,32,22,7,1,1,0,0,2,13,4,32,3,0,0,13,1,496,1,1,3,0,0,1,1,1,0,1,2,0,0,1,1,1,3,5,3,0,0,1,1,1,106,1,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp",1,1,1,109,1,2,6,0,0,3,13,16,2,12,0,1,3,326,1,10,9,12,0,4,0,149,25,1,4,1,0,0,6,4,1,20,0,3,515,9,1,2,65,1,0,1,1,2,3,6,2,21,0,0,3,2,3834,2,9,0,0,0,432,4,2883,1,1,0,0,1,1745,1,0,1,12,0,0,1,1,4087,6,517,340,0,0,0,1,348,2,795,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Cylindrosympodiaceae;g__Septonema;s__Septonema_fasciculare",2,2,2,13,1,2,56,0,0,292,27419,1,963,3,0,3,1,5,2,1,1,0,0,13,0,10,1,1,1,38,0,0,5,1,10,3,0,1,1,1,1,1301,2,1100,0,0,8,4,1,2,3,1,0,3,2,1,30,10,2,0,0,0,2,6,2,1,1,0,0,2,1,310,0,20,65485,0,0,11,1,1,15,4,5,0,0,2,6,1,8,10,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp",1,0,33,1,8,2,6,0,0,1,71,2,1,0,0,0,2,3,3,7125,1,9,0,0,0,411,1,1,0,2,0,1,0,0,0,1,0,0,1,1,6,11,2,9,0,0,1,2,1,9,1,1,0,0,0,1,36,1,2,0,0,3,0,592,2,0,3,0,0,0,1,5,0,1,15,0,0,0,1,1,38,2,8,0,0,1,0,23,1544,2,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiales_fam_Incertae_sedis;g__Venturiales_gen_Incertae_sedis;s__Venturiales_sp",3,3,39,1,1573,3,36,0,1,5,109,2612,1,1,0,0,1,2,2,39,2,15,0,1,0,13,1,1,0,0,0,19,1,0,2,53,0,1,3,111,1,4,1,1,0,1,4,1,1,2,19,1,0,0,1,55,1,1,31,0,0,0,3,1,1,1,2,0,0,0,1,6,0,2,3,0,0,2,1,6,178,88,1,0,0,3,3,1,8,1,47,0,0
